feature,original_skew,transformed_skew,skew_reduction
blck_dat_Mean,224.59984969669935,21.126060319952646,203.4737893767467
roam_Mean,168.80778526689804,2.9957342345780096,165.81205103232003
recv_sms_Mean,168.43920280551927,19.94722077530868,148.49198203021058
drop_dat_Mean,149.64042473425815,11.973458072971747,137.6669666612864
unan_dat_Mean,81.81356125516041,12.295312918464715,69.51824833669569
mou_opkd_Mean,67.43540922711504,5.912650193403453,61.522759033711594
uniqsubs,60.519797494375645,1.3590969857494424,59.1607005086262
callfwdv_Mean,90.73779975727642,33.949265404294565,56.788534352981856
datovr_Mean,58.00787190361168,6.494295701703333,51.51357620190835
mou_cdat_Mean,49.32762661360293,5.075516235445087,44.252110378157845
change_rev,80.53542003400757,-36.917323910250786,43.618096123756786
mou_pead_Mean,43.003811564791505,6.1192406961369645,36.88457086865454
custcare_Mean,32.032501455456476,1.529392819989517,30.50310863546696
plcd_dat_Mean,30.27357667583598,5.213441477301722,25.060135198534258
opk_dat_Mean,29.966403385837626,6.407813874373709,23.558589511463918
comp_dat_Mean,28.636399125899683,5.473214178605186,23.163184947294496
peak_dat_Mean,29.806483187225655,6.70367946957647,23.102803717649184
threeway_Mean,17.00107346199493,3.231683105234549,13.769390356760383
ccrndmou_Mean,11.565861553838701,1.1910981473830777,10.374763406455623
callwait_Mean,11.13812000478685,1.6546472739618194,9.483472730825032
cc_mou_Mean,10.571779896143271,1.3639776276662898,9.207802268476982
da_Mean,10.813064990833764,1.7609589889393058,9.052106001894458
rev_Mean,9.152623976221872,0.2762192565869537,8.876404719634918
inonemin_Mean,8.905458065263037,-0.10973501828999714,8.79572304697304
blck_vce_Mean,9.728314470015992,1.1064139522414476,8.621900517774543
ovrmou_Mean,7.4180832865804645,0.4548905019030536,6.96319278467741
mouiwylisv_Mean,6.681085773792981,0.49585904513783763,6.1852267286551434
drop_blk_Mean,5.731060986021975,0.04876803103268784,5.682292954989287
ovrrev_Mean,6.221423677789212,0.6590412693418524,5.56238240844736
actvsubs,6.867448177482073,1.41907592203001,5.448372255452063
mouowylisv_Mean,5.525898076767951,-0.10601330388438386,5.419884772883567
totcalls,6.018164164972116,-0.6776866725897799,5.340477492382336
vceovr_Mean,6.014158101007998,0.6822866193568576,5.33187148165114
adjqty,6.05015407589986,-0.7264866966067591,5.3236673792931
recv_vce_Mean,5.627871107666588,-0.4115681056847671,5.216303001981821
iwylis_vce_Mean,5.638543716473512,0.6182783501915085,5.020265366282003
avg3rev,4.526901556778158,-0.07286312236299397,4.454038434415164
drop_vce_Mean,4.611948342788864,0.2859860710058699,4.325962271782994
unan_vce_Mean,4.242731240026868,-0.4179207532128748,3.824810486813993
totrev,3.8185835792672713,-0.027295950420158685,3.7912876288471127
adjrev,3.8338400517910936,-0.18274432842185095,3.6510957233692425
totmou,4.4009340905159995,-0.9793786493438449,3.4215554411721545
avg6rev,3.48795925699479,0.06927575615187238,3.4186835008429175
adjmou,4.423042404630198,-1.0367891640813494,3.3862532405488492
owylis_vce_Mean,3.432737974721638,-0.28466258708023884,3.1480753876413994
avgrev,3.2077484112043413,-0.07086627411506119,3.1368821370892803
opk_vce_Mean,3.5566081088928136,-0.6088817084424155,2.947726400450398
mou_rvce_Mean,3.0855456368633383,-0.5183242284293074,2.567221408434031
mou_opkv_Mean,2.900033006634486,-0.7098108854128374,2.1902221212216486
peak_vce_Mean,3.223991766601183,-1.0635764272270807,2.160415339374102
avgqty,2.9028848731794836,-0.7838969951214758,2.118987878058008
phones,3.2813071074907643,1.3728745368712145,1.9084325706195497
avg6qty,2.9563622654690302,-1.0555027263984678,1.9008595390705625
change_mou,14.390948930657688,-12.497371367591386,1.8935775630663016
mou_peav_Mean,3.0587899035323614,-1.1668644335271714,1.89192547000519
avg3qty,3.073586003727004,-1.2054498566901641,1.86813614703684
totmrc_Mean,1.6416961270821306,-0.10349837267660349,1.5381977544055272
comp_vce_Mean,2.625488087458252,-1.1909707293845313,1.4345173580737207
complete_Mean,2.619507354714368,-1.1909214751114179,1.4285858796029502
plcd_vce_Mean,2.6503575565839577,-1.282393321696294,1.3679642348876637
attempt_Mean,2.6415271734151093,-1.2826334588219037,1.3588937145932056
mou_cvce_Mean,2.5643462896030553,-1.2343392159717244,1.330007073631331
models,2.431108503792723,1.344469552284324,1.0866389515083992
avgmou,2.017084476325279,-1.0311742980016485,0.9859101783236304
months,1.0602819076651742,0.12109245207968153,0.9391894555854926
mou_Mean,2.3143698881483608,-1.531592369945563,0.7827775182027978
avg6mou,2.0865719054656595,-1.3658810875804384,0.7206908178852212
avg3mou,2.2314170479780966,-1.521812398699031,0.7096046492790655
rv,3.0331042655426135,3.0331042655426135,0.0
truck,1.5902479613957639,1.5902479613957639,0.0
forgntvl,3.7829958116889792,3.7829958116889797,-4.440892098500626e-16
eqpdays,1.0439967442125593,-1.4041324058604898,-0.36013566164793054
